#DataThief /Users/shugo/Downloads/HPlimit.png
# DAMIC  eV, chi
1.5326, 1.6886e-11
1.5338, 1.6832e-11
1.5349, 1.6832e-11
1.536, 1.6779e-11
1.5372, 1.6725e-11
1.5383, 1.6672e-11
1.5394, 1.6619e-11
1.5406, 1.6566e-11
1.5417, 1.6567e-11
1.5429, 1.6514e-11
1.5441, 1.6462e-11
1.5452, 1.6409e-11
1.5464, 1.6357e-11
1.5474, 1.6305e-11
1.5487, 1.6305e-11
1.5499, 1.6254e-11
1.551, 1.6202e-11
1.5522, 1.615e-11
1.5533, 1.6099e-11
1.5545, 1.6048e-11
1.5556, 1.6048e-11
1.5568, 1.5997e-11
1.558, 1.5946e-11
1.5591, 1.5896e-11
1.5603, 1.5845e-11
1.5615, 1.5795e-11
1.5626, 1.5795e-11
1.5638, 1.5745e-11
1.565, 1.5695e-11
1.5661, 1.5645e-11
1.5673, 1.5595e-11
1.5685, 1.5546e-11
1.5695, 1.5546e-11
1.5708, 1.5496e-11
1.572, 1.5447e-11
1.5732, 1.5398e-11
1.5743, 1.5349e-11
1.5755, 1.53e-11
1.5767, 1.5301e-11
1.5779, 1.5252e-11
1.579, 1.5204e-11
1.5802, 1.5155e-11
1.5814, 1.5107e-11
1.5826, 1.5059e-11
1.5838, 1.5059e-11
1.5849, 1.5011e-11
1.5861, 1.4964e-11
1.5873, 1.4916e-11
1.5885, 1.4916e-11
1.5885, 1.4869e-11
1.5897, 1.4822e-11
1.5909, 1.4822e-11
1.592, 1.4775e-11
1.592, 1.4728e-11
1.5932, 1.4728e-11
1.5944, 1.4681e-11
1.5956, 1.4634e-11
1.5968, 1.4588e-11
1.5979, 1.4541e-11
1.5979, 1.4495e-11
1.5992, 1.4495e-11
1.6004, 1.4449e-11
1.6016, 1.4449e-11
1.6028, 1.4403e-11
1.604, 1.4358e-11
1.6052, 1.4358e-11
1.6064, 1.4312e-11
1.6076, 1.4312e-11
1.6088, 1.4267e-11
1.6099, 1.4267e-11
1.6112, 1.4222e-11
1.6124, 1.4176e-11
1.6136, 1.4177e-11
1.6148, 1.4132e-11
1.616, 1.4132e-11
1.6172, 1.4087e-11
1.6183, 1.4087e-11
1.6196, 1.4042e-11
1.6208, 1.4042e-11
1.6219, 1.3998e-11
1.6232, 1.3953e-11
1.6245, 1.3953e-11
1.6257, 1.3909e-11
1.6269, 1.3909e-11
1.628, 1.3865e-11
1.6293, 1.3865e-11
1.6305, 1.3821e-11
1.6317, 1.3777e-11
1.633, 1.3777e-11
1.6341, 1.3733e-11
1.6354, 1.3734e-11
1.6366, 1.369e-11
1.6378, 1.369e-11
1.6391, 1.3647e-11
1.6402, 1.3647e-11
1.6415, 1.3603e-11
1.6427, 1.356e-11
1.644, 1.356e-11
1.6452, 1.3517e-11
1.6463, 1.3517e-11
1.6476, 1.3474e-11
1.6489, 1.3474e-11
1.6501, 1.3432e-11
1.6513, 1.3389e-11
1.6526, 1.3389e-11
1.6538, 1.3347e-11
1.655, 1.3347e-11
1.6562, 1.3304e-11
1.6575, 1.3304e-11
1.6587, 1.3262e-11
1.66, 1.3262e-11
1.6612, 1.322e-11
1.6625, 1.3178e-11
1.6637, 1.3178e-11
1.6649, 1.3136e-11
1.6662, 1.3136e-11
1.6674, 1.3095e-11
1.6686, 1.3095e-11
1.6699, 1.3053e-11
1.6712, 1.3012e-11
1.6724, 1.3012e-11
1.6737, 1.2971e-11
1.6749, 1.2971e-11
1.6762, 1.2929e-11
1.6774, 1.293e-11
1.6787, 1.2889e-11
1.6799, 1.2889e-11
1.6812, 1.2848e-11
1.6824, 1.2807e-11
1.6837, 1.2807e-11
1.6848, 1.2766e-11
1.6862, 1.2766e-11
1.6875, 1.2726e-11
1.6886, 1.2726e-11
1.69, 1.2686e-11
1.6912, 1.2645e-11
1.6925, 1.2645e-11
1.6938, 1.2605e-11
1.6949, 1.2605e-11
1.6963, 1.2565e-11
1.6976, 1.2565e-11
1.6987, 1.2565e-11
1.7001, 1.2526e-11
1.7014, 1.2526e-11
1.7026, 1.2486e-11
1.7039, 1.2486e-11
1.7052, 1.2446e-11
1.7065, 1.2446e-11
1.7077, 1.2446e-11
1.709, 1.2407e-11
1.7103, 1.2407e-11
1.7116, 1.2368e-11
1.7128, 1.2368e-11
1.7141, 1.2328e-11
1.7154, 1.2329e-11
1.7167, 1.2329e-11
1.718, 1.2289e-11
1.7191, 1.229e-11
1.7205, 1.2251e-11
1.7218, 1.2251e-11
1.7231, 1.2212e-11
1.7244, 1.2212e-11
1.7257, 1.2212e-11
1.7269, 1.2173e-11
1.7282, 1.2173e-11
1.7295, 1.2135e-11
1.7308, 1.2135e-11
1.7321, 1.2096e-11
1.7334, 1.2096e-11
1.7347, 1.2096e-11
1.736, 1.2058e-11
1.7372, 1.2058e-11
1.7386, 1.202e-11
1.7399, 1.202e-11
1.7412, 1.1982e-11
1.7425, 1.1982e-11
1.7438, 1.1982e-11
1.745, 1.1944e-11
1.7464, 1.1944e-11
1.7477, 1.1906e-11
1.749, 1.1906e-11
1.7503, 1.1868e-11
1.7516, 1.1868e-11
1.7529, 1.1868e-11
1.7542, 1.1831e-11
1.7555, 1.1831e-11
1.7568, 1.1793e-11
1.7582, 1.1793e-11
1.7595, 1.1756e-11
1.7608, 1.1756e-11
1.7621, 1.1756e-11
1.7633, 1.1719e-11
1.7647, 1.1719e-11
1.766, 1.1682e-11
1.7673, 1.1682e-11
1.7687, 1.1645e-11
1.77, 1.1645e-11
1.7713, 1.1608e-11
1.7726, 1.1608e-11
1.774, 1.1608e-11
1.7753, 1.1571e-11
1.7766, 1.1571e-11
1.7779, 1.1534e-11
1.7793, 1.1534e-11
1.7806, 1.1498e-11
1.7819, 1.1498e-11
1.7833, 1.1498e-11
1.7846, 1.1461e-11
1.7859, 1.1462e-11
1.7873, 1.1425e-11
1.7886, 1.1425e-11
1.7899, 1.1389e-11
1.7913, 1.1389e-11
1.7926, 1.1389e-11
1.7939, 1.1353e-11
1.7953, 1.1353e-11
1.7966, 1.1317e-11
1.798, 1.1317e-11
1.7993, 1.1281e-11
1.8006, 1.1281e-11
1.802, 1.1245e-11
1.8033, 1.1245e-11
1.8047, 1.121e-11
1.806, 1.1174e-11
1.8074, 1.1174e-11
1.8087, 1.1139e-11
1.8101, 1.1139e-11
1.8114, 1.1103e-11
1.8128, 1.1104e-11
1.8141, 1.1068e-11
1.8155, 1.1068e-11
1.8168, 1.1033e-11
1.8182, 1.1033e-11
1.8195, 1.0998e-11
1.8209, 1.0998e-11
1.8223, 1.0963e-11
1.8235, 1.0964e-11
1.825, 1.0929e-11
1.8263, 1.0929e-11
1.8277, 1.0894e-11
1.8291, 1.0894e-11
1.8304, 1.086e-11
1.8317, 1.086e-11
1.8332, 1.0825e-11
1.8345, 1.0825e-11
1.8359, 1.0791e-11
1.8373, 1.0791e-11
1.8387, 1.0757e-11
1.8399, 1.0757e-11
1.8414, 1.0723e-11
1.8428, 1.0723e-11
1.8441, 1.0689e-11
1.8455, 1.0689e-11
1.8469, 1.0655e-11
1.8483, 1.0655e-11
1.8497, 1.0621e-11
1.851, 1.0621e-11
1.8524, 1.0587e-11
1.8538, 1.0587e-11
1.8552, 1.0554e-11
1.8566, 1.052e-11
1.858, 1.052e-11
1.8594, 1.0487e-11
1.8607, 1.0487e-11
1.862, 1.0454e-11
1.8635, 1.0454e-11
1.8649, 1.0421e-11
1.8662, 1.0421e-11
1.8677, 1.0388e-11
1.8691, 1.0388e-11
1.8705, 1.0355e-11
1.8719, 1.0355e-11
1.8733, 1.0322e-11
1.8747, 1.0322e-11
1.8761, 1.0289e-11
1.8775, 1.0289e-11
1.8789, 1.0257e-11
1.8803, 1.0257e-11
1.8817, 1.0224e-11
1.8831, 1.0224e-11
1.8845, 1.0192e-11
1.8859, 1.0192e-11
1.8873, 1.0159e-11
1.8887, 1.0159e-11
1.8901, 1.0127e-11
1.8915, 1.0127e-11
1.8929, 1.0095e-11
1.8944, 1.0095e-11
1.8958, 1.0063e-11
1.8972, 1.0063e-11
1.8986, 1.0031e-11
1.9, 1.0031e-11
1.9014, 9.9994e-12
1.9029, 9.9995e-12
1.9043, 9.9678e-12
1.9057, 9.9678e-12
1.9071, 9.9362e-12
1.9085, 9.9363e-12
1.91, 9.9047e-12
1.9114, 9.9048e-12
1.9127, 9.8733e-12
1.9143, 9.8734e-12
1.9157, 9.842e-12
1.9171, 9.8421e-12
1.9184, 9.8109e-12
1.92, 9.8109e-12
1.9214, 9.7798e-12
1.9228, 9.7799e-12
1.9243, 9.7488e-12
1.9257, 9.7489e-12
